Boston Millennia Partners,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.bostonmillennia
partners.com/","Healthcare, Life Science, SaaS, Telecommunications, TMT"
Boulder Food Group ('BFG'),Venture Fund,"Pre-SeedSeed,Series A",www.bfgpartners.com,"Software, Mobile, SaaS, Consumer, FinTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Boulder Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.boulderventures.com,"Big Data, Analytics, Enterprise, Software"
Boutique Venture Partners,Venture Fund,"SeedSeries A,Series B","https://www.boutiquevc.com
/","Big Data, Analytics, Healthcare, EdTech, Life Science"
Bow Capital,Venture Fund,"Pre-SeedSeed,Series A",www.bowcapital.com,"Artificial Intelligence, Machine Learning, AI, ML, Software, Big Data, Analytics, Enterprise, Advertising, AdTech, Marketing, MarTech, Entertainment, Media"
Bowery Capital,Venture Fund,"Pre-SeedSeed,Series A",www.bowerycap.com,"Software, Mobile, SaaS, Consumer, FinTech"
BoxGroup,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.boxgroup.com,"ClimateTech, CleanTech, Big Data, Analytics, Productivity, SaaS, Software, Entertainment, Media, Virtual Reality, AR/VR, FinTech, Community, Professional Services, Healthcare, CloudTech, Cybersecurity, Information Technology, Health & Wellness, Parenting, BioTech, Pharmaceuticals, Developer Tools, Mobile, Consumer, Energy, HR Tech, Industrials, Marketplace, PaaS, Service Industry, CRM, Enterprise, Artificial Intelligence, Machine Learning, AI, ML, Marketing, MarTech, E-Commerce, Fashion, Collaboration, B2B, AgTech, FarmTech, Food and Beverage, Beauty, Computer, IoT, Internet of Things, RetailTech, Logistics, Supply Chain, Tech, PropTech, Cryptocurrency, Blockchain, Transportation, RestaurantTech, PetTech, SpaceTech, Robotics, Manufacturing, PoS, Point of Sale, Hospitality, Travel, Advertising, AdTech, Life Science, Network Security, Sports, Construction, DeepTech, Creator Economy, Advanced Materials, Events, Customer Service, Hardware, Legal Tech, InsurTech, Sales, EdTech, E-Sports, Gaming, Market Research"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
BoxOne Ventures,Venture Fund,"SeedSeries A,Series B",https://boxone.xyz/,"FinTech, Entertainment, Media"
Bracket Capital,Venture Fund,"Series BSeries C,Series D",www.bracketcapital.com,"Privacy, Software, Healthcare, Pharmaceuticals, Health & Wellness, Food and Beverage, Manufacturing, ClimateTech, CleanTech, PetTech"
Braemar Energy Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.braemarenergy.com,"Big Data, Analytics, Energy, Artificial Intelligence, Machine Learning, AI, ML, ClimateTech, CleanTech, Software, Developer Tools"
Bragiel Brothers,Venture Fund,"Pre-SeedSeed,Series A",www.bragielbrothers.com,"Big Data, Analytics, Artificial Intelligence, Machine Learning, AI, ML, Quality Assurance, SaaS, Software, Developer Tools, IoT, Internet of Things, FinTech, Transportation, Information Technology, PropTech, Hardware, Hospitality, Travel"
Brainstorm Ventures,Venture Fund,"SeedSeries A,Series B",http://www.brainstorm.vc,"Life Science, Software"
Brand New Matter,Venture Fund,"SeedSeries A,Series B","http://www.brandnewmatter.
com","Service Industry, Travel"
Branded Hospitality Ventures,Accelerator,"Pre-SeedSeed,Series A",www.brandedventures.co,"Enterprise, Food and Beverage, Information Technology, Software, B2B, PropTech, Hospitality, FinTech, RestaurantTech, Robotics, Artificial Intelligence, Machine Learning, AI, ML, Big Data, Analytics, Community, SaaS, ClimateTech, CleanTech"
Branded Strategic Hospitality,Venture Fund,"Pre-SeedSeed,Series A",www.brandedstrategic.com,"E-Commerce, RestaurantTech"
BrandProject,Venture Fund,Seed,"http://www.brandproject.co
m/","E-Commerce, Food and Beverage, Delivery, SaaS, Healthcare, Virtual Reality, AR/VR, Professional Services, Computer, Hardware, Information Technology, Mobile, Service Industry, Software, Consumer, PetTech, Health & Wellness"
Bravos Capital,Venture Fund,Series B,https://bravoscap.com/,"Cryptocurrency, Blockchain, Logistics, Supply Chain, Tech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
BRC Innovation,Venture Fund,"Pre-SeedSeed,Series A",www.brainrobotcap.com,"Software, Mobile, SaaS, Consumer, FinTech"
"Bread and Butter Ventures (fka
The Syndicate Fund)",Venture Fund,"Pre-SeedSeed,Series A","www.breadandbutterventure
s.com","Food and Beverage, Enterprise, Logistics, Manufacturing, SaaS, Software"
Break Trail Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.breaktrailventures.com,"Artificial Intelligence, Machine Learning, AI, ML, Information Technology, Sales, Software, Consumer, IoT, Internet of Things, Marketplace, Saa, S"
Breakaway Partners OÜ,Venture Fund,"SeedSeries A,Series B","https://www.breakaway.part
ners","Cryptocurrency, Blockchain, Cybersecurity, Information Technology, Software"
Breakaway Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D","www.breakawayventures.co
m","Software, Mobile, SaaS, Consumer, FinTech"
Breakout Ventures,Venture Fund,SeedSeries A,https://www.breakout.vc/,"BioTech, Healthcare, Sustainability"
Breakthrough Energy Ventures,Venture Fund,Series ASeries B,"https://www.breakthroughen
ergy.org","ClimateTech, CleanTech, Impact Investing"
"Breakwater Investment
Management",Venture Fund,"Pre-SeedSeed,Series A",www.breakwatermgmt.com,"Software, Mobile, SaaS, Consumer, FinTech"
Bregal Sagemount,Venture Fund,"Series CSeries D,Series B",http://sagemount.com,"Cryptocurrency, Blockchain, Emerging Markets, FinTech, Marketplace, Enterprise, Marketing, MarTech, Mobile, Privacy, SaaS, Software, GovTech, Advertising, AdTech, Artificial Intelligence, Machine Learning, AI, ML, Sales, Automation"
Brewer Lane Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.brewerlane.com,"Healthcare, Big Data, Analytics, Artificial Intelligence, Machine Learning, AI, ML, Network Security, InsurTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Breyer Capital,Venture Fund,"Pre-SeedSeed,Series A",www.breyercapital.com,"Artificial Intelligence, Machine Learning, AI, ML, Transportation, Robotics, E-Sports, Gaming, Entertainment, Media, Cryptocurrency, Blockchain, FinTech, Healthcare, Software, Developer Tools, InsurTech, Big Data, Analytics, CloudTech, Collaboration, SaaS, Professional Services, Information Technology, PropTech, BioTech, CMS, Legal Tech, Life Science, HR Tech, Pharmaceuticals, AudioTech, Virtual Reality, AR/VR, Enterprise"
Bridges Israel,Venture Fund,"SeedSeries A,Series BSeries C,Series D",https://bridgesisrael.com/,"Information Technology, Software"
BrightCap Ventures,Venture Fund,"SeedSeries A,Series B",http://www.brightcap.vc/,"Information Technology, Software"
Brighton Park Capital,Venture Fund,"Pre-SeedSeed,Series A",www.brightonparkcap.com,"Big Data, Analytics, PaaS, SaaS, Software"
Brightstone Venture Capital,Venture Fund,"Pre-SeedSeed,Series A",www.brightstonevc.com,"Artificial Intelligence, Machine Learning, AI, ML, Virtual Reality, AR/VR, Big Data, Analytics, CloudTech, Cybersecurity, E-Commerce, Healthcare, Infrastructure, IoT, Internet of Things, Life Science, Prop, Tech"
Brook Venture Partners,Venture Fund,"Pre-SeedSeed,Series A",www.brookventure.com,"Software, Mobile, SaaS, Consumer, FinTech"
Brookstone Venture Capital,Venture Fund,"Pre-SeedSeed,Series A","www.brookstoneventurecapi
tal.com","CRM, Marketplace, Software, Mobile, PetTech, Saa, S"
Broom Ventures,Venture Fund,"SeedSeries A,Series B",https://www.broom.ventures,"Transportation, Software"
Brown Venture Group,Venture Fund,Series A,"https://brownventuregroup.c
om/","Telecommunications, TMT"
Bryant Stibel Investments,Angel Network,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.bryantstibel.com,"Artificial Intelligence, Machine Learning, AI, ML, CRM, Big Data, Analytics, Sales, Software"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
BTG Pactual,Venture Fund,Seed,http://www.btgpactual.com,"Advertising, AdTech, Marketing, MarTech, Enterprise, Future of Work"
btov Partners,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.btov.vc,"CRM, PropTech, Software, BioTech, Healthcare, Virtual Reality, AR/VR"
Buckhill Capital LP,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.buckhillcapital.co
m","Consumer, E-Commerce, Information Technology, Software"
Builders VC,Venture Fund,"Pre-SeedSeed,Series A",www.builders.vc,"Construction, Tech, Advanced Materials, Enterprise, Infrastructure, SaaS, Software, BioTech, Life Science, Consumer, PropTech, Healthcare, Nanotechnology, Health & Wellness, Professional Services, RetailTech, Big Data, Analytics"
Building Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.buildingventures.com,"Construction, Tech, Information Technology, PropTech, SaaS, Artificial Intelligence, Machine Learning, AI, ML, Hardware, Energy, IoT, Internet of Things, Software, Advanced Materials, Computer"
Bull City Venture Partners,Venture Fund,"Pre-SeedSeed,Series A",www.bcvp.com,"Collaboration, Developer Tools, Software, Healthcare, Information Technology, Big Data, Analytics, CRM, Marketing, MarTech, SaaS, Mobile, Artificial Intelligence, Machine Learning, AI, ML"
Bulldog Innovation Group LLC,Venture Fund,"Pre-SeedSeed,Series A",www.bulldog.vc,"Software, Mobile, SaaS, Consumer, FinTech"
Bullish,Venture Fund,"Pre-SeedSeed,Series A",www.bullish.co,"Consumer, E-Commerce, Delivery, Healthcare, Information Technology, PetTech, Fashion, RetailTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Bullpen Capital,Venture Fund,"Pre-SeedSeed,Series A",www.bullpencap.com,"Information Technology, IoT, Internet of Things, Software, Telecommunications, TMT, GovTech, Advertising, AdTech, Big Data, Analytics, Marketing, MarTech, Enterprise, SaaS, Sales, FinTech, PropTech, HR Tech, Artificial Intelligence, Machine Learning, AI, ML, Construction, Tech, InsurTech, Risk Management, Creator Economy, E-Commerce, Mobile, Food and Beverage, Delivery, Supply Chain, Logistics, Events, E-Sports, Gaming, Computer, Healthcare, Health & Wellness, Travel, Professional Services, Cloud"
Bumble Fund,Corporate VC,"SeedSeries A,Series B",https://bumble.com/en-in/the-buzz/bumble-fund,"FinTech, Information Technology"
Buoyant Ventures,Venture Fund,SeedSeries A,https://www.buoyant.vc/,"AgTech, FarmTech, FinTech, Big Data, Analytics, ClimateTech, CleanTech, Impact Investing, InsurTech, Micro-Mobility, SaaS, Supply Chain, Tech"
Burst Capital,Venture Fund,"Pre-SeedSeed,Series A",www.burst.llc,"Events, E-Sports, Gaming"
bValue Venture Capital,Venture Fund,"SeedSeries A,Series B",http://bvalue.vc/,"Mobile, Software"
byFounders,Venture Fund,"SeedSeries A,Series B",https://byfounders.vc/,"FinTech, InsurTech"
C2 Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.c2ventures.co,"Information Technology, Legal Tech, Professional Services, Big Data, Analytics, CloudTech, Enterprise, Developer Tools, FinTech"
C4 Ventures,Venture Fund,"SeedSeries A,Series B",http://c4v.com/,"CloudTech, Developer Tools, Infrastructure, Entertainment, Media, SaaS, Software"
C5 Capital,Venture Fund,"Pre-SeedSeed,Series A",www.c5capital.com,"Enterprise, Information Technology, SaaS, Software, Big Data, Analytics, Energy, ClimateTech, CleanTech, Cloud, Tech"
Cadenza Capital,Venture Fund,"Pre-SeedSeed,Series A",www.cadenza.vc,"Cryptocurrency, Blockchain, FinTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Cadenza Capital Management,Venture Fund,"SeedSeries A,Series B",https://cadenza.vc,"Cryptocurrency, Blockchain, Entertainment, Media, Sports, Big Data, Analytics, FinTech, Software, Mobile, Creator Economy"
Caffeinated Capital,Venture Fund,"Pre-SeedSeed,Series A",www.caffeinatedcapital.com,"Artificial Intelligence, Machine Learning, AI, ML, BioTech, FinTech, SaaS, Enterprise, Information Technology, InsurTech, Software, Healthcare, Marketplace, Cryptocurrency, Blockchain, Developer Tools, Big Data, Analytics, SpaceTech, Manufacturing, Supply Chain, Tech, B2B, Collaboration, CRM, Customer Service, Telecommunications, TMT, Computer, Marketing, MarTech, Life Science, Pharmaceuticals, Community, E-Commerce, RetailTech, Food and Beverage, Cybersecurity, Network Security, PropTech, Travel, Oil & Gas, Logistics, Transportation, Mobile, Productivity, Entertainment, Media, Sales, Automation"
Callais Capital Management,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.callaiscapital.com,"Manufacturing, Advertising, AdTech, AgTech, FarmTech, Artificial Intelligence, Machine Learning, AI, ML, AudioTech, Virtual Reality, AR/VR, FinTech, Big Data, Analytics, Ridesharing, ClimateTech, CleanTech, CloudTech, Construction, Tech, Cryptocurrency, Blockchain, Cybersecurity, Healthcare, E-Commerce, EdTech, E-Sports, Gaming, FemTech, RestaurantTech, HR Tech, Impact Investing, Infrastructure, InsurTech, IoT, Internet of Things, Legal Tech, Marketing, MarTech, Micro-Mobility, Mobile, PropTech, PetTech, Robotics, SaaS, SpaceTech, Supply Chain, Telecommunications, TMT, Wearables, Quantified Self"
Camber Creek,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://cambercreek.com,"PropTech, Consumer, Artificial Intelligence, Machine Learning, AI, ML, FinTech, Construction, Tech, Software, Big Data, Analytics"
Cambridge Companies,Venture Fund,"SeedSeries A,Series B","http://www.cambridgespg.co
m/","Parenting, Food and Beverage, Healthcare"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Cambridge Companies SPG,Venture Fund,"SeedSeries A,Series BSeries C,Series D",www.cambridgespg.com,"Consumer, D2C, E-Commerce"
Cambridge Innovation Capital,Venture Fund,"SeedSeries A,Series B",https://www.cic.vc/,"BioTech, Healthcare"
Camden Partners,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.camdenpartners.
com","B2C, Big Data, Analytics, Marketing, MarTech, Software, EdTech, Healthcare"
Camp One Ventures,Venture Fund,"SeedSeries A,Series B","http://www.camponeventure
s.com/","Fin, Tech"
Canaan Partners,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.canaan.com,"E-Commerce, Fashion, Artificial Intelligence, Machine Learning, AI, ML, Transportation, Logistics, Robotics, Consumer, RetailTech, Construction, Tech, PropTech, Risk Management, Software, FinTech, Information Technology, Marketplace, Parenting, PaaS, Entertainment, Media, Big Data, Analytics, Enterprise, SaaS, Computer, Manufacturing, DeepTech, Community, Mobile, Sports, CloudTech, Healthcare, Health & Wellness, Cybersecurity, Marketing, MarTech, FemTech, BioTech, Life Science, Advertising, AdTech"
Canapi Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.canapi.com,"Big Data, Analytics, Network Security, Life Science, FinTech, InsurTech, SaaS, Artificial Intelligence, Machine Learning, AI, ML, PropTech, Software"
Candou Ventures,Venture Fund,Seed,http://candouventures.com/,"Big Data, Analytics, Developer Tools, FinTech"
CanopyBoulder,Accelerator,"SeedSeries A,Series B","http://www.canopyboulder.c
om","FinTech, HR Tech, Software"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Cantos,Venture Fund,"Pre-SeedSeed,Series A",www.cantos.vc,"Advanced Materials, Energy, Oil & Gas, Construction, Tech, PropTech, Robotics, FinTech, AgTech, FarmTech, Software, Artificial Intelligence, Machine Learning, AI, ML, Hardware, Big Data, Analytics, ClimateTech, CleanTech, BioTech, Healthcare, Consumer, Manufacturing, Information Technology, IoT, Internet of Things, Pharmaceuticals, SaaS, Advertising, AdTech, E-Commerce, Marketing, MarTech, Food and Beverage, SpaceTech, Transportation, Computer"
Canvas Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.canvas.vc,"Marketing, MarTech, Advertising, AdTech, Software, Big Data, Analytics, CloudTech, Information Technology, PaaS, SaaS, FinTech, PropTech, Cybersecurity, Privacy, Healthcare, Customer Service, IoT, Internet of Things, Logistics, Supply Chain, Tech, Computer, Developer Tools, Entertainment, Media, B2B, Enterprise, E-Commerce, Fashion, RetailTech, Artificial Intelligence, Machine Learning, AI, ML, PetTech, Health, Wellness"
Canyon Creek Capital,Venture Fund,"Pre-SeedSeed,Series A","www.canyoncreekcapital.co
m","Software, Mobile, SaaS, Consumer, FinTech"
Capital Factory,Accelerator,"Pre-SeedSeed,Series A",www.capitalfactory.com,"Advertising, AdTech, Manufacturing, Artificial Intelligence, Machine Learning, AI, ML, Virtual Reality, AR/VR, Big Data, Analytics, ClimateTech, CleanTech, CloudTech, Cryptocurrency, Blockchain, Cybersecurity, Healthcare, E-Commerce, EdTech, E-Sports, Gaming, RestaurantTech, Infrastructure, IoT, Internet of Things, Life Science, Mobile, PropTech, Ridesharing, Robotics, SaaS, Supply Chain, Tech, Telecommunications, TMT"
Capital One Ventures,Venture Fund,"Pre-SeedSeed,Series A","www.growthventures.capital
one.com","Big Data, Analytics, Information Technology, Software, CRM, Marketing, MarTech, Enterprise, Sales, FinTech, CloudTech, Cybersecurity, PropTech, SaaS"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Capital Z Partners,Venture Fund,"Pre-SeedSeed,Series A",www.capitalz.com,"Software, Mobile, SaaS, Consumer, FinTech"
CapitalG,Corporate VC,"Pre-SeedSeed,Series A",www.capitalg.com,"CloudTech, CMS, Legal Tech, Community, E-Commerce, Retail, Tech"
CapitalX,Venture Fund,"SeedSeries A,Series B",http://capitalx.vc/,"Collaboration, Information Technology, Productivity, SaaS, Software"
Capnamic Ventures,Venture Fund,"SeedSeries A,Series B",http://capnamic.com,"Delivery, Logistics, SaaS, Software, BioTech, E-Commerce, Marketplace, RetailTech"
Capria Ventures,Accelerator,"SeedSeries A,Series B",https://capria.vc/,"Ed, Tech"
Capricorn Partners,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.capricorn.be,"BioTech, Advanced Materials, Enterprise, Food and Beverage, Manufacturing"
Carao Ventures,Venture Fund,Seed,http://www.caraov.com,"Enterprise, Productivity, SaaS, Software"
Cardumen Capital,Venture Fund,"SeedSeries A,Series B","https://www.cardumencapita
l.com","Information Technology, Software, FinTech, PropTech"
Carta Ventures,Corporate VC,"SeedSeries A,Series B","https://carta.com/carta-
ventures-funds","HR Tech, Software"
Carthona Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://carthonacapital.com,"Developer Tools, Industrials, Manufacturing, Big Data, Analytics, PropTech, B2B, CloudTech, Enterprise, SaaS, Software, Computer"
Casa Verde Capital,Venture Fund,Seed,"http://www.casaverdecapital.
com/","HR Tech, Advertising, AdTech, Big Data, Analytics, Information Technology"
Cascade Seed Fund,Venture Fund,Seed,www.cascadeseedfund.com,"Software, Consumer"
Castle Island Ventures,Venture Fund,"SeedSeries A,Series B",http://www.castleisland.vc/,"FinTech, Cryptocurrency, Blockchain, EdTech, Information Technology, Consumer, Advanced Materials, Health & Wellness, Software"
Catalio Capital Management,Venture Fund,"Pre-SeedSeed,Series A",www.cataliocapital.com,"BioTech, Healthcare, Life Science, Pharmaceuticals, Artificial Intelligence, Machine Learning, AI, ML, Software, Big Data, Analytics"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Catalyst Investors,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.catalyst.com,"CloudTech, EdTech, RestaurantTech, Healthcare, Infrastructure, Legal Tech, PropTech, SaaS, Supply Chain, Tech"
Caterpillar Ventures,Corporate VC,"SeedSeries A,Series B","http://www.caterpillar.com/e
n/company/innovation/cater
pillar-ventures.html","Transportation, IoT, Internet of Things, Manufacturing, Developer Tools, Enterprise, FinTech, SaaS, Software"
Cathay Innovation,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.cathayinnovation.com,"Manufacturing, Artificial Intelligence, Machine Learning, AI, ML, FinTech, ClimateTech, CleanTech, Healthcare, E-Commerce, InsurTech, IoT, Internet of Things, Micro-Mobility, SaaS, Telecommunications, TMT"
Cats.vc,Venture Fund,"SeedSeries A,Series B",https://cats.vc/,"Cryptocurrency, Blockchain, InsurTech, IoT, Internet of Things, Software, Supply Chain, Tech"
Causeway Media Partners,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.causewaymp.com,"Software, Mobile, SaaS, Consumer, FinTech"
CAVU Venture Partners,Venture Fund,"Pre-SeedSeed,Series A",www.cavuventures.com,"Parenting, Food and Beverage, Healthcare"
Cayuga Venture Fund,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.cayugaventures.com,"Software, Mobile, SaaS, Consumer, FinTech"
Cedar Fund,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.cedarfund.com,"Advertising, AdTech, Big Data, Analytics, Marketing, MarTech, SaaS, Software"
Celesta Capital,Venture Fund,"Pre-SeedSeed,Series A",www.wrvi.vc,"Computer, Big Data, Analytics, Hardware, Software, Artificial Intelligence, Machine Learning, AI, ML, Advertising, AdTech, CloudTech, Developer Tools, Information Technology, Consumer, Entertainment, Media, IoT, Internet of Things, Advanced Materials, Elder Care, SaaS, Mobile, Enterprise, Collaboration, BioTech, Industrials, Cybersecurity, Privacy, Transportation"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Celtic House Asia Partners,Venture Fund,"Pre-SeedSeed,Series A",www.celticvc.com,"Healthcare, E-Commerce"
Centana Growth Partners,Venture Fund,Series CSeries D,"http://www.centanagrowth.c
om/","Information Technology, InsurTech, FinTech, Software, Big Data, Analytics, Market Research, SaaS, Cybersecurity, Network Security, E-Commerce, Marketplace, Enterprise"
Center Electric,Venture Fund,"Pre-SeedSeed,Series A",www.cen.vc,"Software, Mobile, SaaS, Consumer, FinTech"
CentreGold Capital,Venture Fund,"SeedSeries A,Series B","http://www.centregoldcap.co
m","Food and Beverage, Delivery"
CerraCap Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.cerracap.com,"HR Tech, Information Technology"
Cervin,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.cervin.com,"CloudTech, Computer, Developer Tools, SaaS, Software, Mobile, Entertainment, Media, Information Technology, Marketing, MarTech, Advertising, AdTech, Artificial Intelligence, Machine Learning, AI, ML, Big Data, Analytics, Enterprise, Cybersecurity"
Ceyuan Ventures,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.ceyuan.com,"Cryptocurrency, Blockchain, FinTech"
CFV Ventures,Venture Fund,SeedSeries A,http://www.fintechvc.us,"Fin, Tech"
Chaac Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.chaacventures.com,"Software, Mobile, SaaS, Consumer, FinTech"
Change Ventures,Venture Fund,"SeedSeries A,Series B","http://www.changeventures.
com",Robotics
Chapter One Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.chapterone.com,"Software, Mobile, SaaS, Consumer, FinTech"
Charge Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.charge.vc,"Community, Computer, Software, FinTech, InsurTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Chartline Capital Partners,Venture Fund,"Series BSeries C,Series D",https://www.chartline.com,"AgTech, FarmTech, Artificial Intelligence, Machine Learning, AI, ML, Big Data, Analytics, Healthcare, E-Commerce, EdTech, HR Tech, Infrastructure, Mobile, Telecommunications, TMT"
Cherry Ventures,Venture Fund,"SeedSeries A,Series B",http://www.cherry.vc,"Artificial Intelligence, Machine Learning, AI, ML, Enterprise, Information Technology, SaaS, Cryptocurrency, Blockchain, Developer Tools"
Cherubic Ventures,Venture Fund,"SeedSeries A,Series B",http://www.cherubic.com,"EdTech, Information Technology, Professional Services, Creator Economy, Meeting Software, Enterprise, SaaS, Software, Big Data, Analytics, Artificial Intelligence, Machine Learning, AI, ML, Developer Tools, Transportation, Computer, FinTech, Advertising, AdTech, Marketing, MarTech, E-Commerce"
Chetrit Ventures,Family Office,"Pre-SeedSeed,Series A",www.chetritventures.com,"Big Data, Analytics, Sports, Artificial Intelligence, Machine Learning, AI, ML, E-Commerce, Consumer, Software, Food and Beverage, IoT, Internet of Things"
Chicago Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.chicagoventures.com,"E-Commerce, FinTech, RetailTech, Healthcare, Health & Wellness, Information Technology, Software, Manufacturing, Marketplace, Supply Chain, Tech, Developer Tools, Telecommunications, TMT, Mobile, Consumer, Delivery, Logistics, SaaS, Hospitality, HR Tech"
Chingona Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.chingona.ventures,"E-Commerce, RetailTech, EdTech, Enterprise, HR Tech, Virtual Reality, AR/VR, InsurTech, FinTech, Mobile, PropTech, Consumer, FemTech, Software, Parenting, Food and Beverage, Marketing, MarTech, Sales, B2B, CRM, Marketplace, Supply Chain, Tech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Chiratae Ventures,Corporate VC,"SeedSeries A,Series BSeries C,Series D",http://www.chiratae.com,"Big Data, Analytics, E-Commerce, Artificial Intelligence, Machine Learning, AI, ML, Customer Service, SaaS, Software, Developer Tools, Sales, PropTech, CloudTech, Cybersecurity, CRM, Enterprise"
Chrysalis Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.chrysalisventures.com,"Big Data, Analytics, EdTech, FinTech, Mobile, SaaS"
CID Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.cidcap.com,"Software, Mobile, SaaS, Consumer, FinTech"
CincyTech,Venture Fund,"Pre-SeedSeed,Series A",www.cincytechusa.com,"Healthcare, Life Science, Manufacturing, Big Data, Analytics, CloudTech, Enterprise, Information, Technology, Artificial Intelligence, Machine Learning, AI, ML, Software"
Citi Ventures,Corporate VC,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.ventures.citi.com,"Big Data, Analytics, Artificial Intelligence, Machine Learning, AI, ML, CloudTech, Enterprise, Software, Cybersecurity, Community, HR Tech, Marketplace, SaaS, EdTech, FinTech, Hardware, ClimateTech, CleanTech, Professional Services, Privacy, Service Industry, Mobile, Advertising, AdTech, Marketing, MarTech, Creator Economy, Market Research, E-Commerce, PoS, Point of Sale, Transportation, Information Technology, Infrastructure"
City Light Capital,Venture Fund,"Pre-SeedSeed,Series A",www.citylight.vc,"Healthcare, InsurTech, Collaboration, EdTech, Health & Wellness, Cybersecurity, Information Technology, IoT, Internet of Things, Software, Big Data, Analytics, Wearables, Quantified Self, Community, PaaS, Mobile, FinTech, Hardware, Energy, Manufacturing, ClimateTech, CleanTech, Telecommunications, TMT, Artificial Intelligence, Machine Learning, AI, ML, SaaS, PropTech, Consumer, Productivity, Parenting"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Civilization Ventures,Venture Fund,"Pre-SeedSeed,Series A","www.civilizationventures.co
m","Artificial Intelligence, Machine Learning, AI, ML, Healthcare"
Claremont Creek Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.claremontcreek.com,"Software, Mobile, SaaS, Consumer, FinTech"
Claritas Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.claritascapital.co
m","Entertainment, Media, SaaS, Software, Creator Economy, Developer Tools, Healthcare, Professional, Services"
Claritas Health Ventures,Venture Fund,"Pre-SeedSeed,Series A","https://www.claritashealthve
ntures.com/",Healthcare
Clarus Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.clarusfunds.com,"Software, Mobile, SaaS, Consumer, FinTech"
Clean Energy Venture Group,Angel Network,"SeedSeries A,Series B",http://cevg.com,"Energy, Information Technology, IoT, Internet of Things, ClimateTech, CleanTech, Software"
